applicant_id,jurisdiction,age,income,credit_score,debt_to_income,employment_length,loan_amount,postcode_risk_band,thin_file_flag,income_instability_flag,model_score,decision,observed_default,gender_audit,age_band,protected_group_flag,audit_group,denial_feature_candidate
APP-00001,US,31,47455,720,0.329,3.4,21350,Low,1,0,0.5495,Declined,0,Male,26-35,0,Reference audit group,thin_file_flag
APP-00002,US,35,56634,763,0.261,2.8,26529,High,0,0,0.7106,Approved,1,Female,26-35,1,Protected audit group,postcode_risk_band
APP-00003,EU,34,63165,737,0.319,13.7,21617,Low,1,0,0.7096,Approved,0,Male,26-35,0,Reference audit group,thin_file_flag
APP-00004,EU,43,38978,553,0.325,8.0,14469,Low,1,0,0.1371,Declined,0,Female,36-45,1,Protected audit group,credit_score
APP-00005,US,32,64198,647,0.326,5.2,26957,Low,0,1,0.4112,Declined,0,Male,26-35,0,Reference audit group,income_instability_flag
APP-00006,US,37,36088,598,0.27,1.1,17590,Very High,1,0,0.0897,Declined,1,Male,36-45,1,Protected audit group,credit_score
APP-00007,US,48,52815,741,0.229,1.5,23442,Medium,0,0,0.6984,Approved,0,Female,46-55,1,Protected audit group,employment_length
APP-00008,US,47,30644,608,0.343,13.1,14448,Very High,0,0,0.1679,Declined,0,Male,46-55,0,Reference audit group,credit_score
APP-00009,US,27,49728,727,0.346,1.8,23339,Low,0,0,0.6455,Approved,0,Female,26-35,0,Reference audit group,employment_length
APP-00010,US,44,47010,643,0.349,5.5,21723,Low,0,1,0.3522,Declined,0,Male,36-45,0,Reference audit group,income_instability_flag
APP-00011,EU,19,127300,757,0.302,2.3,58741,Medium,0,0,0.7912,Approved,0,Female,19-25,0,Reference audit group,postcode_risk_band
APP-00012,US,19,43917,681,0.169,1.8,10025,Medium,1,0,0.4485,Declined,0,Female,19-25,0,Reference audit group,thin_file_flag
APP-00013,EU,35,66881,724,0.488,9.1,26364,Medium,0,0,0.6361,Approved,0,Female,26-35,0,Reference audit group,debt_to_income
APP-00014,US,41,37961,663,0.556,8.2,10147,High,0,0,0.2995,Declined,1,Female,36-45,0,Reference audit group,debt_to_income
APP-00015,US,32,56211,757,0.323,3.8,26032,Low,0,0,0.7724,Approved,0,Male,26-35,0,Reference audit group,credit_score
APP-00016,US,42,27817,714,0.247,11.7,11006,High,0,0,0.5681,Approved,0,Female,36-45,0,Reference audit group,postcode_risk_band
APP-00017,US,42,30975,539,0.427,2.8,13043,Very High,1,0,0.0329,Declined,0,Male,36-45,1,Protected audit group,credit_score
