approval_threshold,alert_threshold,eu_approval_disparity_ratio,us_proxy_denial_gap,estimated_human_review_workload,bias_alert
0.52,0.05,0.339,0.348,0.376,Yes
0.52,0.08,0.339,0.348,0.376,Yes
0.52,0.1,0.339,0.348,0.376,Yes
0.56,0.05,0.347,0.318,0.369,Yes
0.56,0.08,0.347,0.318,0.369,Yes
0.56,0.1,0.347,0.318,0.369,Yes
0.6,0.05,0.29,0.283,0.372,Yes
0.6,0.08,0.29,0.283,0.372,Yes
0.6,0.1,0.29,0.283,0.372,Yes
0.64,0.05,0.233,0.229,0.374,Yes
0.64,0.08,0.233,0.229,0.374,Yes
0.64,0.1,0.233,0.229,0.374,Yes
